"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 02- 13","1,506.11","1,507.27","1,514.62","1,505.41","","0.00%"
"2025- 02- 12","1,506.16","1,505.38","1,514.23","1,499.59","","0.20%"
"2025- 02- 11","1,503.09","1,496.19","1,506.57","1,494.95","","0.55%"
"2025- 02- 10","1,494.94","1,502.60","1,503.23","1,494.32","","-0.40%"
"2025- 02- 07","1,500.97","1,501.62","1,506.45","1,496.40","","0.02%"
"2025- 02- 06","1,500.63","1,503.53","1,507.21","1,498.30","","-0.08%"
"2025- 02- 05","1,501.80","1,508.33","1,512.04","1,500.36","","-0.36%"
"2025- 02- 04","1,507.29","1,510.59","1,512.24","1,501.73","","-0.10%"
"2025- 02- 03","1,508.74","1,499.26","1,514.39","1,491.53","","0.02%"
"2025- 01- 31","1,508.40","1,502.02","1,515.92","1,498.81","","0.57%"
"2025- 01- 30","1,499.87","1,504.34","1,508.79","1,497.74","","-0.16%"
"2025- 01- 29","1,502.21","1,509.61","1,512.10","1,500.35","","-0.33%"
"2025- 01- 28","1,507.23","1,505.51","1,513.21","1,496.33","","0.27%"
"2025- 01- 27","1,503.19","1,499.01","1,509.04","1,495.26","","0.32%"
"2025- 01- 24","1,498.38","1,495.57","1,505.21","1,491.55","","0.31%"
"2025- 01- 23","1,493.82","1,495.82","1,499.32","1,490.98","","0.02%"
"2025- 01- 22","1,493.53","1,494.84","1,499.13","1,489.05","","0.03%"
"2025- 01- 21","1,493.07","1,499.44","1,501.65","1,490.07","","-0.21%"
"2025- 01- 20","1,496.15","1,498.26","1,506.28","1,491.00","","0.04%"
"2025- 01- 17","1,495.49","1,501.34","1,503.84","1,496.14","","-0.24%"
"2025- 01- 16","1,499.13","1,498.56","1,504.16","1,492.36","","0.17%"
"2025- 01- 15","1,496.58","1,505.14","1,509.39","1,493.55","","-0.42%"
"2025- 01- 14","1,502.93","1,502.30","1,507.79","1,494.57","","0.19%"
"2025- 01- 13","1,500.11","1,510.63","1,511.59","1,495.18","","-0.59%"
"2025- 01- 10","1,509.02","1,503.12","1,514.66","1,498.38","","0.55%"
"2025- 01- 09","1,500.84","1,506.43","1,509.02","1,500.48","","-0.27%"
"2025- 01- 08","1,504.86","1,504.58","1,509.85","1,499.48","","0.17%"
"2025- 01- 07","1,502.37","1,520.29","1,521.79","1,503.69","","-1.03%"
"2025- 01- 06","1,518.06","1,513.41","1,521.44","1,509.48","","0.29%"
"2025- 01- 03","1,513.60","1,509.75","1,516.71","1,503.36","","0.33%"
"2025- 01- 02","1,508.57","1,530.51","1,531.24","1,503.99","","-1.35%"
"2025- 01- 01","1,529.21","1,530.51","1,531.47","1,529.99","","0.02%"
"2024- 12- 31","1,528.91","1,531.13","1,537.66","1,528.59","","-0.01%"
"2024- 12- 30","1,529.05","1,537.61","1,540.56","1,527.94","","-0.41%"
"2024- 12- 27","1,535.38","1,530.73","1,548.19","1,527.40","","0.42%"
"2024- 12- 26","1,528.99","1,516.11","1,532.51","1,514.47","","0.90%"
"2024- 12- 25","1,515.36","1,519.07","1,521.11","1,515.32","","-0.10%"
"2024- 12- 24","1,516.85","1,512.21","1,520.44","1,508.54","","0.45%"
"2024- 12- 23","1,510.06","1,508.05","1,517.82","1,507.21","","0.23%"
"2024- 12- 20","1,506.54","1,499.03","1,509.87","1,498.01","","0.65%"
"2024- 12- 19","1,496.81","1,505.96","1,511.30","1,497.36","","-0.47%"
"2024- 12- 18","1,503.84","1,509.90","1,512.06","1,502.64","","-0.25%"
"2024- 12- 17","1,507.68","1,511.39","1,514.01","1,506.51","","-0.16%"
"2024- 12- 16","1,510.09","1,506.85","1,513.75","1,501.78","","0.27%"
"2024- 12- 13","1,506.02","1,498.68","1,509.76","1,496.81","","0.57%"
"2024- 12- 12","1,497.48","1,500.65","1,508.41","1,496.40","","-0.05%"
"2024- 12- 11","1,498.20","1,511.02","1,512.21","1,497.66","","-0.76%"
"2024- 12- 10","1,509.74","1,509.57","1,512.79","1,503.04","","0.17%"
"2024- 12- 09","1,507.25","1,505.57","1,519.02","1,504.36","","0.15%"
"2024- 12- 06","1,505.03","1,498.30","1,510.89","1,496.35","","0.60%"
"2024- 12- 05","1,496.10","1,485.34","1,500.46","1,483.94","","0.88%"
"2024- 12- 04","1,483.10","1,487.41","1,491.80","1,478.37","","-0.23%"
"2024- 12- 03","1,486.47","1,475.98","1,516.89","1,468.57","","0.86%"
"2024- 12- 02","1,473.74","1,476.31","1,480.33","1,469.79","","-0.08%"
"2024- 11- 29","1,474.86","1,473.04","1,478.72","1,470.70","","0.28%"
"2024- 11- 28","1,470.80","1,469.35","1,475.02","1,468.27","","0.27%"
"2024- 11- 27","1,466.90","1,465.52","1,473.57","1,461.61","","0.18%"
"2024- 11- 26","1,464.24","1,469.21","1,471.78","1,460.37","","-0.20%"
"2024- 11- 25","1,467.12","1,470.41","1,474.90","1,464.66","","0.40%"
"2024- 11- 22","1,461.30","1,467.06","1,472.54","1,452.71","","-0.28%"
"2024- 11- 21","1,465.33","1,476.18","1,477.69","1,465.36","","-0.58%"
"2024- 11- 20","1,473.93","1,476.28","1,478.63","1,470.19","","-0.08%"
"2024- 11- 19","1,475.16","1,475.42","1,478.12","1,468.10","","0.11%"
"2024- 11- 18","1,473.51","1,470.32","1,477.67","1,463.41","","0.30%"
"2024- 11- 15","1,469.08","1,479.98","1,484.51","1,468.11","","-0.68%"
"2024- 11- 14","1,479.20","1,485.40","1,488.38","1,476.39","","-0.27%"
"2024- 11- 13","1,483.14","1,495.49","1,498.31","1,481.57","","-0.69%"
"2024- 11- 12","1,493.38","1,492.39","1,498.33","1,489.09","","0.19%"
"2024- 11- 11","1,490.58","1,497.99","1,499.81","1,488.03","","-0.39%"
"2024- 11- 08","1,496.48","1,493.19","1,500.42","1,490.74","","0.38%"
"2024- 11- 07","1,490.83","1,504.21","1,507.28","1,491.63","","-0.76%"
"2024- 11- 06","1,502.31","1,506.84","1,509.19","1,494.56","","-0.17%"
